
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="share_female_lf",="share_female_self",="share_female_employer",="share_female_manager",="share_female_leaders",="share_female_informal"

="corruption3_full",="-0.032",="-0.018",="-0.163*",="-0.211**",="-0.188**",="0.051"
="",="(0.025)",="(0.053)",="(0.094)",="(0.079)",="(0.074)",="(0.054)"

="log_gdppc",="-0.015***",="0.005",="0.001",="0.003",="0.004",="-0.012"
="",="(0.004)",="(0.008)",="(0.012)",="(0.010)",="(0.009)",="(0.008)"

="log_population",="-0.001",="0.010***",="0.009",="0.006",="0.005",="0.008**"
="",="(0.002)",="(0.002)",="(0.007)",="(0.006)",="(0.005)",="(0.003)"

="log_density",="0.003",="0.005**",="-0.003",="-0.003",="-0.002",="0.002"
="",="(0.002)",="(0.002)",="(0.005)",="(0.004)",="(0.003)",="(0.003)"

="size_informal",="0.031",="-0.057",="0.014",="0.068",="0.023",="-0.106***"
="",="(0.027)",="(0.041)",="(0.054)",="(0.041)",="(0.040)",="(0.029)"

="college",="0.186***",="-0.302***",="0.013",="0.039",="-0.003",="0.153"
="",="(0.040)",="(0.103)",="(0.172)",="(0.123)",="(0.116)",="(0.131)"

="workage",="0.001",="0.079",="-0.026",="-0.270",="-0.207",="-0.157"
="",="(0.098)",="(0.168)",="(0.266)",="(0.283)",="(0.228)",="(0.181)"

="male",="-1.591***",="-1.182***",="-1.110",="-1.030*",="-1.028*",="-1.077***"
="",="(0.215)",="(0.376)",="(0.696)",="(0.525)",="(0.514)",="(0.306)"

="urban",="0.028*",="0.040",="0.032",="0.086*",="0.057",="0.049**"
="",="(0.014)",="(0.027)",="(0.049)",="(0.042)",="(0.034)",="(0.023)"

="N",="935",="935",="878",="934",="934",="935"
="adj. R-sq",="0.590",="0.537",="0.074",="0.098",="0.122",="0.629"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
