
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="share_female_lf",="share_female_self",="share_female_employer",="share_female_manager",="share_female_leaders",="share_female_informal"

="corruption3_full",="-0.044",="0.020",="-0.133",="-0.187**",="-0.172**",="0.028"
="",="(0.030)",="(0.048)",="(0.095)",="(0.079)",="(0.076)",="(0.049)"

="log_gdppc",="-0.008***",="0.001",="-0.002",="0.003",="0.003",="-0.005"
="",="(0.003)",="(0.006)",="(0.012)",="(0.013)",="(0.010)",="(0.008)"

="log_population",="0.001",="0.006*",="0.002",="-0.002",="-0.002",="0.013***"
="",="(0.003)",="(0.003)",="(0.006)",="(0.007)",="(0.005)",="(0.004)"

="log_density",="0.000",="0.003",="-0.004",="-0.004",="-0.003",="0.002"
="",="(0.002)",="(0.002)",="(0.006)",="(0.005)",="(0.004)",="(0.003)"

="size_informal",="0.050*",="-0.049",="0.001",="0.091*",="0.039",="-0.076**"
="",="(0.027)",="(0.036)",="(0.049)",="(0.046)",="(0.043)",="(0.031)"

="college",="0.028",="0.008",="0.155",="0.040",="-0.001",="0.034"
="",="(0.069)",="(0.042)",="(0.196)",="(0.157)",="(0.131)",="(0.127)"

="workage",="0.113",="-0.030",="-0.239",="-0.261",="-0.168",="-0.073"
="",="(0.087)",="(0.121)",="(0.292)",="(0.262)",="(0.205)",="(0.169)"

="male",="-1.429***",="-1.310***",="-1.133",="-0.635",="-0.874",="-0.825**"
="",="(0.263)",="(0.468)",="(0.890)",="(0.566)",="(0.587)",="(0.341)"

="urban",="0.008",="0.011",="0.024",="0.054",="0.040",="0.038**"
="",="(0.013)",="(0.024)",="(0.064)",="(0.039)",="(0.027)",="(0.014)"

="N",="935",="935",="878",="934",="934",="935"
="adj. R-sq",="0.655",="0.570",="0.072",="0.108",="0.128",="0.662"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
