
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="female_lfp",="pct_female_self",="pct_female_employer",="pct_female_managers",="pct_female_leaders",="pct_female_informal"

="corruption3_full",="-0.093",="-0.155*",="-0.020***",="-0.009",="-0.029**",="0.139**"
="",="(0.071)",="(0.087)",="(0.005)",="(0.011)",="(0.013)",="(0.063)"

="log_gdppc",="0.034***",="0.003",="-0.000",="0.002**",="0.002",="-0.021***"
="",="(0.007)",="(0.010)",="(0.001)",="(0.001)",="(0.001)",="(0.005)"

="population",="0.000",="-0.000",="-0.000**",="0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="log_density",="0.002",="0.017***",="0.000",="-0.000",="-0.000",="-0.010***"
="",="(0.005)",="(0.005)",="(0.000)",="(0.001)",="(0.001)",="(0.004)"

="size_informal",="0.065",="0.225***",="0.001",="-0.001",="0.000",="0.351***"
="",="(0.062)",="(0.058)",="(0.003)",="(0.006)",="(0.007)",="(0.055)"

="college",="0.908***",="-0.530***",="0.067***",="0.098***",="0.164***",="-0.312***"
="",="(0.123)",="(0.137)",="(0.011)",="(0.027)",="(0.033)",="(0.103)"

="workage",="0.622***",="0.179",="0.020",="-0.001",="0.019",="-0.035"
="",="(0.168)",="(0.242)",="(0.016)",="(0.020)",="(0.027)",="(0.211)"

="male",="0.278",="-0.105",="-0.030",="0.073",="0.043",="-0.261"
="",="(0.324)",="(0.294)",="(0.030)",="(0.045)",="(0.064)",="(0.201)"

="urban",="0.048",="-0.122",="0.005**",="0.016***",="0.022***",="0.144***"
="",="(0.055)",="(0.080)",="(0.003)",="(0.004)",="(0.005)",="(0.027)"

="N",="935",="935",="935",="935",="935",="935"
="adj. R-sq",="0.689",="0.446",="0.234",="0.175",="0.248",="0.623"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
