
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="female_lfp",="pct_female_self",="pct_female_employer",="pct_female_managers",="pct_female_leaders",="pct_female_informal"

="corruption3_full",="-0.042",="-0.172**",="-0.010**",="-0.011",="-0.021**",="0.133"
="",="(0.076)",="(0.077)",="(0.005)",="(0.010)",="(0.010)",="(0.081)"

="log_gdppc",="0.046***",="-0.009",="-0.000",="0.003**",="0.003",="-0.020***"
="",="(0.014)",="(0.008)",="(0.001)",="(0.001)",="(0.002)",="(0.005)"

="log_population",="0.004",="0.005",="0.001",="0.001",="0.001",="-0.004"
="",="(0.006)",="(0.003)",="(0.000)",="(0.001)",="(0.001)",="(0.003)"

="log_density",="-0.005",="0.011*",="-0.001**",="-0.001",="-0.002*",="-0.008**"
="",="(0.006)",="(0.005)",="(0.000)",="(0.001)",="(0.001)",="(0.004)"

="size_informal",="0.167**",="0.275***",="0.010**",="0.001",="0.011",="0.335***"
="",="(0.074)",="(0.043)",="(0.004)",="(0.005)",="(0.007)",="(0.056)"

="college",="0.828***",="-0.389***",="0.062***",="0.076***",="0.138***",="-0.297**"
="",="(0.144)",="(0.137)",="(0.008)",="(0.017)",="(0.020)",="(0.107)"

="workage",="0.881**",="-0.071",="0.041**",="0.010",="0.052**",="0.169"
="",="(0.346)",="(0.290)",="(0.017)",="(0.016)",="(0.024)",="(0.227)"

="male",="-0.027",="-0.235",="-0.020",="-0.011",="-0.030",="-0.180"
="",="(0.360)",="(0.294)",="(0.034)",="(0.044)",="(0.066)",="(0.380)"

="urban",="0.099**",="-0.061",="0.009***",="0.016***",="0.025***",="0.102**"
="",="(0.043)",="(0.042)",="(0.003)",="(0.003)",="(0.004)",="(0.038)"

="N",="935",="935",="935",="935",="935",="935"
="adj. R-sq",="0.779",="0.556",="0.443",="0.396",="0.518",="0.739"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
