
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="share_female_lf",="share_female_self",="share_female_employer",="share_female_manager",="share_female_leaders"

="corruption3_full",="-0.014",="0.011",="-0.166",="-0.203**",="-0.203**"
="",="(0.033)",="(0.050)",="(0.134)",="(0.090)",="(0.080)"

="log_gdppc",="-0.010*",="0.002",="-0.024",="-0.009",="-0.011"
="",="(0.005)",="(0.007)",="(0.016)",="(0.010)",="(0.008)"

="population",="-0.000",="0.000*",="-0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="log_density",="0.002",="0.003",="-0.003",="0.001",="0.000"
="",="(0.003)",="(0.003)",="(0.008)",="(0.008)",="(0.006)"

="size_informal",="0.028",="-0.066**",="-0.062",="0.131**",="0.060"
="",="(0.032)",="(0.029)",="(0.096)",="(0.053)",="(0.044)"

="college",="0.135**",="-0.062",="0.525*",="0.502*",="0.378"
="",="(0.055)",="(0.078)",="(0.300)",="(0.293)",="(0.222)"

="workage",="0.175**",="-0.040",="-0.438",="-0.118",="-0.070"
="",="(0.077)",="(0.161)",="(0.421)",="(0.226)",="(0.180)"

="male",="-0.889***",="-0.870*",="-0.577",="-0.206",="-0.499"
="",="(0.301)",="(0.472)",="(0.618)",="(0.451)",="(0.417)"

="urban",="-0.001",="0.009",="-0.001",="0.066*",="0.052*"
="",="(0.015)",="(0.022)",="(0.077)",="(0.033)",="(0.028)"

="N",="935",="935",="878",="934",="934"
="adj. R-sq",="0.497",="0.360",="0.035",="0.074",="0.081"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
