
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="female_lfp",="pct_female_self",="pct_female_employer",="pct_female_managers",="pct_female_leaders",="pct_female_informal"

="corruption3_full",="0.033",="-0.105",="-0.005",="-0.007",="-0.012",="0.098"
="",="(0.050)",="(0.063)",="(0.004)",="(0.010)",="(0.010)",="(0.061)"

="log_gdppc",="0.030***",="-0.018**",="-0.000",="0.003**",="0.003**",="-0.001"
="",="(0.006)",="(0.007)",="(0.001)",="(0.001)",="(0.001)",="(0.005)"

="log_population",="0.004",="-0.003",="-0.001",="-0.001",="-0.002",="0.002"
="",="(0.005)",="(0.005)",="(0.000)",="(0.001)",="(0.001)",="(0.005)"

="log_density",="-0.005",="0.011***",="-0.001**",="-0.001",="-0.002*",="-0.004"
="",="(0.003)",="(0.003)",="(0.000)",="(0.001)",="(0.001)",="(0.003)"

="size_informal",="0.115**",="0.212***",="0.008**",="0.004",="0.012**",="0.384***"
="",="(0.042)",="(0.049)",="(0.003)",="(0.005)",="(0.006)",="(0.044)"

="college",="1.067***",="0.202",="0.067***",="0.071***",="0.138***",="-0.446***"
="",="(0.165)",="(0.153)",="(0.012)",="(0.015)",="(0.020)",="(0.100)"

="workage",="0.478**",="-0.290",="0.012",="0.003",="0.014",="0.121"
="",="(0.193)",="(0.240)",="(0.016)",="(0.013)",="(0.019)",="(0.165)"

="male",="-0.329",="-0.999**",="0.047",="0.122***",="0.169***",="0.605*"
="",="(0.314)",="(0.360)",="(0.033)",="(0.035)",="(0.054)",="(0.342)"

="urban",="0.074***",="-0.023",="0.001",="0.004",="0.006",="0.065**"
="",="(0.022)",="(0.027)",="(0.002)",="(0.004)",="(0.004)",="(0.027)"

="N",="935",="935",="935",="935",="935",="935"
="adj. R-sq",="0.865",="0.666",="0.496",="0.461",="0.577",="0.785"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
