
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="share_female_lf",="share_female_self",="share_female_employer",="share_female_manager",="share_female_leaders",="share_female_informal"

="corruption3_full",="-0.032",="0.004",="-0.116",="-0.219*",="-0.208**",="0.034"
="",="(0.033)",="(0.051)",="(0.152)",="(0.106)",="(0.093)",="(0.054)"

="log_gdppc",="-0.010*",="0.002",="-0.024",="-0.010",="-0.011",="-0.001"
="",="(0.005)",="(0.007)",="(0.017)",="(0.010)",="(0.008)",="(0.006)"

="log_population",="-0.004",="0.001",="0.006",="-0.006",="-0.004",="0.002"
="",="(0.003)",="(0.004)",="(0.010)",="(0.009)",="(0.007)",="(0.005)"

="log_density",="0.003",="0.004",="-0.005",="0.001",="-0.000",="0.004"
="",="(0.003)",="(0.003)",="(0.008)",="(0.007)",="(0.006)",="(0.004)"

="size_informal",="0.027",="-0.066**",="-0.060",="0.131**",="0.060",="-0.069*"
="",="(0.031)",="(0.029)",="(0.098)",="(0.052)",="(0.043)",="(0.034)"

="college",="0.156**",="-0.032",="0.421",="0.496",="0.352",="0.073"
="",="(0.056)",="(0.078)",="(0.330)",="(0.309)",="(0.234)",="(0.124)"

="workage",="0.161**",="-0.035",="-0.419",="-0.143",="-0.091",="-0.018"
="",="(0.071)",="(0.157)",="(0.422)",="(0.231)",="(0.189)",="(0.128)"

="male",="-0.886***",="-0.872*",="-0.575",="-0.200",="-0.494",="-0.461"
="",="(0.301)",="(0.467)",="(0.623)",="(0.458)",="(0.425)",="(0.348)"

="urban",="-0.002",="0.007",="0.005",="0.066*",="0.052*",="0.039*"
="",="(0.015)",="(0.023)",="(0.076)",="(0.033)",="(0.027)",="(0.022)"

="N",="935",="935",="878",="934",="934",="935"
="adj. R-sq",="0.498",="0.359",="0.035",="0.074",="0.080",="0.449"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
