
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="female_lfp",="pct_female_self",="pct_female_employer",="pct_female_managers",="pct_female_leaders",="pct_female_informal"

="corruption3_full",="-0.039",="-0.094",="-0.006",="-0.007",="-0.013",="0.074"
="",="(0.055)",="(0.061)",="(0.006)",="(0.011)",="(0.014)",="(0.059)"

="log_gdppc",="0.019**",="-0.017**",="-0.000",="0.002",="0.002",="-0.004"
="",="(0.007)",="(0.007)",="(0.001)",="(0.001)",="(0.001)",="(0.004)"

="log_population",="-0.008*",="-0.015**",="-0.000",="-0.001*",="-0.002*",="0.001"
="",="(0.004)",="(0.007)",="(0.000)",="(0.001)",="(0.001)",="(0.006)"

="log_density",="-0.002",="0.015***",="-0.000",="-0.000",="-0.001",="-0.004"
="",="(0.004)",="(0.004)",="(0.000)",="(0.001)",="(0.001)",="(0.003)"

="size_informal",="0.049",="0.097*",="0.002",="0.002",="0.004",="0.359***"
="",="(0.057)",="(0.054)",="(0.003)",="(0.006)",="(0.007)",="(0.061)"

="college",="1.293***",="0.072",="0.051***",="0.087***",="0.138***",="-0.551***"
="",="(0.114)",="(0.136)",="(0.014)",="(0.026)",="(0.030)",="(0.099)"

="workage",="0.399***",="-0.099",="0.006",="-0.003",="0.002",="-0.090"
="",="(0.110)",="(0.201)",="(0.014)",="(0.020)",="(0.027)",="(0.162)"

="male",="-0.038",="-0.651**",="0.007",="0.128***",="0.136**",="0.292"
="",="(0.355)",="(0.290)",="(0.027)",="(0.042)",="(0.058)",="(0.274)"

="urban",="0.061**",="-0.057",="-0.001",="0.006**",="0.005",="0.102***"
="",="(0.028)",="(0.037)",="(0.002)",="(0.003)",="(0.004)",="(0.021)"

="N",="935",="935",="935",="935",="935",="935"
="adj. R-sq",="0.770",="0.621",="0.296",="0.232",="0.319",="0.675"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
